英语|葡萄牙语|俄语|Français
Settings|configurações|Настройки|Paramètres
No results|Nenhum resultado|Нет результатов|Aucun résultat
No followings|Nenhum seguido|Никому не подписали|Aucun abonnement
No followers|Nenhum seguidores|Нет подписчиков|Aucun abonné
No blocked accounts|Nenhuma contas bloqueadas|Нет блокированных аккаунтов|Aucun compte bloqué
No moon|Nenhuma lua|Нет лун|Pas de Moon
No broadcast  |Nenhuma transmissão|Нет стримов|Pas de diffusions
Save|Conservar|Сохранить|Enregistrer
Cancel|cancelar|Отменить|Annuler
OK|OK|ОК|OK
No connection. Please check your network.|Sem ligação. Por favor, verifique a sua rede.|Связь пропала. Проверьте сеть пожалуйста.|Pas de connexion. Veuillez vérifier votre réseau.
Following|Seguido|Подписали к|Abonnement
Followers|Seguidores|Подписчики|Abonnés
Follow|Seguimento|Подписать|Suivre
Moon|Lua|Луна|Moon
You are not permitted to broadcast since you have been blocked by the administrator.|Você não tem permissão para transmitir porque você foi bloqueado pelo administrador.|Вас не допускают стримить из-за того что вас блокирует администратор.|Vous n\'êtes pas autorisé(e) à diffuser car vous avez été bloqué(e) par l\'administrateur.
Update|Atualizar|Обновить|Mise à jour
A new version of Kitty Live is available. Please update it.|A nova versão do Kitty Live está disponível. Atualize-o.|Новая версия Kitty Live выпушена, Обновьте пожалуйста.|Une nouvelle version de Kitty Live est disponible. Veuillez l\'installer.
Insufficient rubies. Please buy more.|Rubis são insuficientes. Por favor, compre mais.|Рубины недостаточны. Покупайте больше.|Pas assez de Rubis. Veuillez en acheter plus.
To broadcast live video, Kitty Live needs permission to access the camera on your device.|Para transmitir vídeo ao vivo, Kitty Live precisa de permissão de acessar a câmera no seu dispositivo.|Для того чтобы начать стримить, Kitty Live востребует допуск к тспользованию фотоаппараты на вашем устройстве.|Pour diffuser une vidéo en direct, vous devez autoriser Kitty Live à accéder à la caméra de votre appareil.
Log in with Facebook|Faça login com facebook|Войти с Facebook|Connexion avec Facebook
Login failed. Please try again later.|Falha no login. Por favor, tente novamente mais tarde.|Войти не удалось, попробуйте ещё раз позднее.|Connexion échouée. Veuillez réessayer plus tard.
Login failed. Your account has been disabled.|Falha no login. A sua conta foi desativada.|Войти не удалось, ваш аккаунт закрывают.|Connexion échouée. Votre compte a été désactivé.
By continuing you agree to the\n <u>%1$s</u> and <u>%2$s</u>|Ao continuar, você concorda com \ n <u>% 1 $ s </ u> e <u>% 2 $ s </ u>|Нажимая "продолжать" вы согласны к \n <u>%1$s</u> and <u>%2$s</u>|En continuant, vous acceptez les\n <u>%1$s</u> et la <u>%2$s</u>
Authorization failed|Falha na autorização|Авторизация не удалась|Autorisation échouée
More Option|Mais opção|Больше выборов|Plus d\'options
Log In|Login|Вход|Connexion
Sign Up|Inscrever|Зарегистрировать|Inscription
Log In with Phone|Login com celular|Войти с телефоном|Connexion avec un téléphone
Sign Up With Phone|Inscrever com celular|Зарегистрировать с телефоном|Inscription avec un téléphone
Phone Number|Número decelular|Номер телефона|Numéro de téléphone
Password|Senha|Пароль|Mot de passe
Tap next to get an SMS confirmation|Toque seguido para obter uma confirmação de SMS|Кликните "дальше" для получения подтверждающую СМС|Appuyez sur suivant pour recevoir une confirmation par SMS
NEXT|Seguinte|ДАЛЬШЕ|SUIVANT
Enter your code|Digite o seu código|Введите ваш код|Saisir votre code
Send New Code|Enviar o novo código|Отправить новый код|Envoyer un nouveau code
Failed to send SMS. Please try again later.|Falha ao enviar SMS. Por favor, tente novamente mais tarde.|Не удалось отправить СМС. Попробуйте ещё раз позднее.|Envoi du SMS échoué. Veuillez réessayer plus tard.
Sending SMS too much times. Please wait one minute.|Envindo de SMS demais vezes. Espre um minuto.|Слишком много раз отправить СМС, подождите минуту.|Trop de SMS envoyés. Veuillez patienter quelques instants.
This number has already been registered.|Este número já foi registrado.|Данный номер уже зарегистрирован.|Ce numéro est déjà enregistré.
This number has already been registered. Please login in.|Este número já foi registrado. Faça login, por favor .|Данный номер уже зарегистрирован.Войдите пожалуйста.|Ce numéro est déjà enregistré. Veuillez vous connecter.
Incorrect verification code|Código de verificação incorreto|Неправильный код подтверждения.|Code de vérification erroné
HOT|QUENTE| ТОП|HOT
FEATURED|DESTAQUE|Лучшие|EN VEDETTE
Notification|Notificação|Уведомления|Notification
More >>|Mais|Больше >> |Plus >>
Trending TAGS|TAGS Tendências|Тренд теги|TAGS en vogue
Following VJ|VJ Seguindo |Мои VJ|Abonné à VJ
Countries|Países|Страны|Pays
Latest Streams|Últimas Streams|Последние стримы|Dernières diffusions
What are you doing now?|O que você está fazendo agora?|Что ты делаешь?|Que faites-vous en ce moment ?
Start Broadcast|Iniciar a transmissão|Начните стримить|Lancer la diffusion
Send|Enviar|Отправить  |Envoyer
LIVE END|A transmissão acabou|Стрим закончился|FIN DU DIRECT
Lasted %1$s|Durou% 1 $ s|Продолжал %1$s |Durée %1$s
Viewers|Espectador|Зрители|Visionneurs
Likes|Gostas|Лайкс|Likes
Back|Voltar|Назад|Retour
Stop broadcast?|Parar transmitir?|Остановить трансляцию?|Arrêter la diffusion ?
liked this @&#160;|gostou disso @|поставил лайк|aimé ceci @&#160;
Successfully shared|Compartilhou com sucesso|Успешно поделился|Partage réussi
joined|Juntou|учавствовал|s\'est inscrit(e)
Say something...|Diga alguma coisa ...|Говорите что-нибудь...|Dites quelque chose…
Report this account?|Denunciar esta conta?|Пожаловаться на этот аккаунт?|Signaler ce compte ?
Reported|Denunciou|Пожаловалось|Signalé
Report failed|Falha ao denunciar|Пожаловаться не удалось|Signalement échoué
Block this account?|Bloquear esta conta?|Блокировать этот аккаунт?|Bloquer ce compte ?
